name,city,province,sector,website_url
Punjab Tianjin University of Technology,Lahore,,,https://admissionscorner.com/punjab-tianjin-university-of-technology-ptut-admissions/
Qalandar Shahbaz University of Modern Sciences,Karachi (also Hyderabad campus),,,https://alluniversities.pk/listing/qalandar-shahbaz-university-of-modern-sciences/
Qarshi University,Lahore,,,http://www.qu.edu.pk/
Quaid-e-Awam University of Engineering Science and Technology,Nawabshah,,,https://www.quest.edu.pk/static/pdfs/admission_advertisement_25_batch.pdf
Quaid-i-Azam University,Islamabad,,,https://qau.edu.pk/
Qurtuba University,Dera Ismail Khan / Peshawar,,,https://en.wikipedia.org/wiki/Qurtuba_University
Rashid Latif Khan University,Lahore,,,https://www.facebook.com/rlku.edu.pk/
Rawalpindi Medical University,Rawalpindi,,,https://pmdc.org.pk/rawalpindi-medical-university-rmu-admission-guide/
Riphah International University,Islamabad,,,https://riphah.edu.pk/admissions/
Riphah International University (Faisalabad Campus),"Satiana Road, Faisalabad",,,https://campusguru.pk/en/university/faisalabad/riphah-international-universityfaisalabad-campus
Riphah International University (Gujranwala Campus),"Near Gujranwala Medical College, Alipur Chatta Road, Gujranwala",,,https://riphahgrw.edu.pk/faq
Riphah International University (Sahiwal Campus),Sahiwal,,,https://riphahsahiwal.edu.pk/
Salim Habib University,"Deh Dih, Korangi Creek, Karachi",,,https://www.shu.edu.pk/faqs/
Sardar Bahadur Khan Women's University,Quetta,,,https://quettavoice.com/2026/07/15/quetta-balochistan-universities-admission-guide-uob-buitems-sbkwu-merit-lists-fees-and-scholarships/
Sarhad University of Science and IT,Peshawar,,,https://pmdc.org.pk/sarhad-university-of-science-and-information-technology-suit-admission-guide/
Shah Abdul Latif University,Khairpur,,,http://www.salu.edu.pk/newsdetail.aspx?id=R04tMTEyNC0xMQ%3D%3D
Shaheed Allah Bux Soomro University of Art Design and Heritages,"East Toll Plaza, Jamshoro",,,https://admissions.sabsu.edu.pk/admission-policy/
Shaheed Benazir Bhutto City University,"SITE Area, Karachi",,,https://jaamiah.com/university/shaheed-benazir-bhutto-city-university-khi/
